MURDER_PER_CAPITA,ATTEMPT TO MURDER_PER_CAPITA,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER_PER_CAPITA,RAPE_PER_CAPITA,CUSTODIAL RAPE_PER_CAPITA,OTHER RAPE_PER_CAPITA,KIDNAPPING & ABDUCTION_PER_CAPITA,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS_PER_CAPITA,KIDNAPPING AND ABDUCTION OF OTHERS_PER_CAPITA,DACOITY_PER_CAPITA,PREPARATION AND ASSEMBLY FOR DACOITY_PER_CAPITA,ROBBERY_PER_CAPITA,BURGLARY_PER_CAPITA,THEFT_PER_CAPITA,AUTO THEFT_PER_CAPITA,OTHER THEFT_PER_CAPITA,RIOTS_PER_CAPITA,CRIMINAL BREACH OF TRUST_PER_CAPITA,CHEATING_PER_CAPITA,COUNTERFIETING_PER_CAPITA,ARSON_PER_CAPITA,HURT/GREVIOUS HURT_PER_CAPITA,DOWRY DEATHS_PER_CAPITA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY_PER_CAPITA,INSULT TO MODESTY OF WOMEN_PER_CAPITA,CRUELTY BY HUSBAND OR HIS RELATIVES_PER_CAPITA,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES_PER_CAPITA,CAUSING DEATH BY NEGLIGENCE_PER_CAPITA,OTHER IPC CRIMES_PER_CAPITA,TOTAL IPC CRIMES_PER_CAPITA,STATE,YEAR
7.617728531855956e-05,6.123341594984691e-05,1.822423093745444e-06,7.289692374981776e-06,0.0,7.289692374981776e-06,3.4261554162414344e-05,2.2598046362443506e-05,1.1663507799970841e-05,7.289692374981776e-06,6.196238518734509e-06,6.925207756232687e-06,2.733634640618166e-05,7.909316226855227e-05,2.5878407931185303e-05,5.321475433736696e-05,4.774748505613063e-05,1.202799241871993e-05,2.405598483743986e-05,7.289692374981776e-06,2.3327015599941683e-05,7.326140836856684e-05,0.0,7.654176993730864e-06,0.0,1.822423093745444e-06,0.0,2.5513923312436216e-06,0.0003998396267677504,0.0009072022160664819,Manipur,2009
7.464818915636831e-05,6.0004286020430034e-05,1.785841845846132e-06,7.143367383384528e-06,0.0,7.143367383384528e-06,3.357382670190728e-05,2.2144438888492034e-05,1.1429387813415243e-05,7.143367383384528e-06,6.071862275876848e-06,6.786199014215301e-06,2.6787627687691977e-05,7.750553610972212e-05,2.5358954211015074e-05,5.214658189870705e-05,4.678905636116866e-05,1.178655618258447e-05,2.357311236516894e-05,7.143367383384528e-06,2.2858775626830487e-05,7.17908422030145e-05,0.0,7.500535752553754e-06,0.0,1.785841845846132e-06,0.0,2.5001785841845846e-06,0.0003918137009786413,0.0008889920708622045,Manipur,2010
7.317927170868348e-05,5.882352941176471e-05,1.7507002801120449e-06,7.0028011204481795e-06,0.0,7.0028011204481795e-06,3.2913165266106445e-05,2.1708683473389355e-05,1.1204481792717087e-05,7.0028011204481795e-06,5.9523809523809525e-06,6.6526610644257705e-06,2.6260504201680674e-05,7.598039215686274e-05,2.4859943977591038e-05,5.112044817927171e-05,4.5868347338935576e-05,1.1554621848739495e-05,2.310924369747899e-05,7.0028011204481795e-06,2.2408963585434174e-05,7.03781512605042e-05,0.0,7.3529411764705884e-06,0.0,1.7507002801120449e-06,0.0,2.450980392156863e-06,0.0003841036414565826,0.0008714985994397759,Manipur,2011
7.072013799051315e-05,2.0267356619232426e-05,8.624407072013799e-07,1.121172919361794e-05,0.0,1.121172919361794e-05,2.3717119448037948e-05,4.743423889607589e-06,1.8973695558430357e-05,4.182837429926693e-05,1.2936610608020699e-06,5.3902544200086246e-05,7.330746011211729e-05,0.00011686071582578698,6.899525657611039e-06,0.00010996119016817594,3.4497628288055197e-06,8.19318671841311e-06,1.2505390254420008e-05,1.2936610608020699e-06,1.121172919361794e-05,4.3984476067270374e-05,0.0,1.078050884001725e-05,0.0,1.7248814144027598e-06,0.0,0.0,0.00022035360068995257,0.000727468736524364,Meghalaya,2001
6.879771792935649e-05,1.9716419162681434e-05,8.389965601141035e-07,1.0906955281483346e-05,0.0,1.0906955281483346e-05,2.3072405403137847e-05,4.61448108062757e-06,1.845792432251028e-05,4.069133316553402e-05,1.2584948401711553e-06,5.243728500713147e-05,7.13147076096988e-05,0.00011368403389546103,6.711972480912828e-06,0.0001069720614145482,3.355986240456414e-06,7.970467321083984e-06,1.2165450121654501e-05,1.2584948401711553e-06,1.0906955281483346e-05,4.278882456581928e-05,0.0,1.0487457001426295e-05,0.0,1.677993120228207e-06,0.0,0.0,0.00021436362110915344,0.0007076935984562464,Meghalaya,2002
6.697704810912358e-05,1.919464183615127e-05,8.167932696234583e-07,1.0618312505104958e-05,0.0,1.0618312505104958e-05,2.2461814914645103e-05,4.492362982929021e-06,1.7969451931716083e-05,3.9614473576737725e-05,1.2251899044351875e-06,5.1049579351466146e-05,6.942742791799395e-05,0.0001106754880339786,6.534346156987666e-06,0.00010414114187699093,3.267173078493833e-06,7.759536061422854e-06,1.1843502409540145e-05,1.2251899044351875e-06,1.0618312505104958e-05,4.1656456750796374e-05,0.0,1.0209915870293229e-05,0.0,1.6335865392469166e-06,0.0,0.0,0.0002086906803887936,0.0006889651229273871,Meghalaya,2003
6.525025861382987e-05,1.869976923689027e-05,7.957348611442668e-07,1.0344553194875468e-05,0.0,1.0344553194875468e-05,2.1882708681467335e-05,4.376541736293467e-06,1.750616694517387e-05,3.859314076549694e-05,1.1936022917164002e-06,4.973342882151667e-05,6.763746319726267e-05,0.00010782207368504815,6.365878889154134e-06,0.00010145619479589401,3.182939444577067e-06,7.559481180870534e-06,1.1538155486591867e-05,1.1936022917164002e-06,1.0344553194875468e-05,4.0582477918357604e-05,0.0,9.946685764303334e-06,0.0,1.5914697222885335e-06,0.0,0.0,0.00020331025702236016,0.000671202355375189,Meghalaya,2004
6.361027073151812e-05,1.8229772709642387e-05,7.757350089209526e-07,1.0084555115972384e-05,0.0,1.0084555115972384e-05,2.1332712745326197e-05,4.266542549065239e-06,1.7066170196260957e-05,3.76231479326662e-05,1.163602513381429e-06,4.8483438057559536e-05,6.593747575828097e-05,0.00010511209370878908,6.205880071367621e-06,9.890621363742145e-05,3.1029400356838106e-06,7.36948258474905e-06,1.1248157629353812e-05,1.163602513381429e-06,1.0084555115972384e-05,3.956248545496858e-05,0.0,9.696687611511907e-06,0.0,1.5514700178419053e-06,0.0,0.0,0.0001982002947793034,0.0006543324800248235,Meghalaya,2005
6.20506999621642e-05,1.7782822550132424e-05,7.567158531971245e-07,9.837306091562618e-06,0.0,9.837306091562618e-06,2.0809685962920923e-05,4.161937192584184e-06,1.6647748770336737e-05,3.670071888006054e-05,1.1350737797956867e-06,4.729474082482028e-05,6.432084752175558e-05,0.00010253499810821037,6.053726825576996e-06,9.648127128263337e-05,3.026863412788498e-06,7.188800605372683e-06,1.0972379871358305e-05,1.1350737797956867e-06,9.837306091562618e-06,3.859250851305335e-05,0.0,9.458948164964056e-06,0.0,1.513431706394249e-06,0.0,0.0,0.0001933409004918653,0.0006382898221717745,Meghalaya,2006
6.056577295221213e-05,1.735726419971933e-05,7.386069872220991e-07,9.601890833887289e-06,0.0,9.601890833887289e-06,2.0311692148607725e-05,4.0623384297215455e-06,1.6249353718886182e-05,3.582243888027181e-05,1.1079104808331487e-06,4.61629367013812e-05,6.278159391387843e-05,0.00010008124676859443,5.908855897776793e-06,9.417239087081764e-05,2.9544279488883963e-06,7.016766378609942e-06,1.0709801314720438e-05,1.1079104808331487e-06,9.601890833887289e-06,3.7668956348327054e-05,0.0,9.232587340276238e-06,0.0,1.4772139744441982e-06,0.0,0.0,0.00018871408523524633,0.0006230149937218406,Meghalaya,2007
